reference_id,frame_index,timestamp_seconds,image_path,telemetry_block_index,drone_lat,drone_lon,rel_alt_m,abs_alt_m,manual_height_above_takeoff_m,manual_camera_angle_deg,local_x_m,local_y_m,feature_type,feature_path,feature_status
4cf8d389-690a-422e-9621-e1b8f17f3615,2398,80.0,frames/frame_002398.jpg,2398,32.1044,35.205408,119.8,829.842,120.0,45.0,-406.5372348057857,197.4824067000195,orb,features/frame_002398_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2428,81.0,frames/frame_002428.jpg,2428,32.104461,35.205318,119.9,829.942,120.0,45.0,-415.0146099523463,204.26530467815027,orb,features/frame_002428_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2458,82.0,frames/frame_002458.jpg,2458,32.104496,35.205265,119.9,829.942,120.0,45.0,-420.0068419832027,208.15713138642164,orb,features/frame_002458_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2488,83.0,frames/frame_002488.jpg,2488,32.104504,35.205253,119.8,829.842,120.0,45.0,-421.13715866923235,209.04669177708683,orb,features/frame_002488_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2517,84.0,frames/frame_002517.jpg,2518,32.104505,35.205251,119.8,829.842,120.0,45.0,-421.3255447837937,209.15788682641377,orb,features/frame_002517_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2547,85.0,frames/frame_002547.jpg,2548,32.104503,35.205253,119.8,829.842,120.0,45.0,-421.13715866923235,208.93549672854996,orb,features/frame_002547_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2577,86.0,frames/frame_002577.jpg,2578,32.104501,35.205255,119.8,829.842,120.0,45.0,-420.948772554671,208.71310663068613,orb,features/frame_002577_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2607,87.0,frames/frame_002607.jpg,2608,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_002607_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2637,88.0,frames/frame_002637.jpg,2638,32.104499,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.49071653282232,orb,features/frame_002637_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2667,89.0,frames/frame_002667.jpg,2668,32.104499,35.205259,119.8,829.842,120.0,45.0,-420.5720003262175,208.49071653282232,orb,features/frame_002667_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2697,90.0,frames/frame_002697.jpg,2698,32.104499,35.205259,119.8,829.842,120.0,45.0,-420.5720003262175,208.49071653282232,orb,features/frame_002697_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2727,91.0,frames/frame_002727.jpg,2728,32.1045,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.60191158214928,orb,features/frame_002727_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2757,92.0,frames/frame_002757.jpg,2758,32.1045,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.60191158214928,orb,features/frame_002757_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2787,93.0,frames/frame_002787.jpg,2788,32.1045,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.60191158214928,orb,features/frame_002787_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2817,94.0,frames/frame_002817.jpg,2818,32.1045,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.60191158214928,orb,features/frame_002817_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2847,95.0,frames/frame_002847.jpg,2848,32.1045,35.205258,119.8,829.842,120.0,45.0,-420.6661933831636,208.60191158214928,orb,features/frame_002847_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2877,96.0,frames/frame_002877.jpg,2878,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_002877_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2907,97.0,frames/frame_002907.jpg,2908,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_002907_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2937,98.0,frames/frame_002937.jpg,2938,32.104499,35.205256,119.8,829.842,120.0,45.0,-420.8545794977249,208.49071653282232,orb,features/frame_002937_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2967,99.0,frames/frame_002967.jpg,2968,32.104499,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.49071653282232,orb,features/frame_002967_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2997,100.0,frames/frame_002997.jpg,2998,32.104499,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.49071653282232,orb,features/frame_002997_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,3027,101.0,frames/frame_003027.jpg,3027,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_003027_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,3057,102.0,frames/frame_003057.jpg,3057,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_003057_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,3087,103.0,frames/frame_003087.jpg,3087,32.104501,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.71310663068613,orb,features/frame_003087_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,3117,104.0,frames/frame_003117.jpg,3117,32.104501,35.205256,119.8,829.842,120.0,45.0,-420.8545794977249,208.71310663068613,orb,features/frame_003117_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,3147,105.0,frames/frame_003147.jpg,3147,32.1045,35.205257,119.8,829.842,120.0,45.0,-420.7603864401096,208.60191158214928,orb,features/frame_003147_orb.npz,extracted
